M^2+ / M^3+ Mg/Al,Ni/Mg Ni Loading (%),Reaction Temp (°C),GHSV (mL/g.h),Time on stream (h),CH4 ratio Composition,CO2 ratio composition,CH4 conversion (%),CO2 conversion (%),H2/CO
2.5,10,650,12000,1,1,1,78.5,72.3,0.95
2.5,10,700,12000,1,1,1,85.2,79.8,0.98
2.5,10,750,12000,1,1,1,91.3,85.6,1.02
2.5,10,800,12000,1,1,1,95.1,89.2,1.05
2.5,15,650,12000,1,1,1,82.1,76.4,0.97
2.5,15,700,12000,1,1,1,88.7,82.9,1.01
2.5,15,750,12000,1,1,1,93.5,87.8,1.04
2.5,15,800,12000,1,1,1,96.8,91.5,1.08
3.0,10,650,12000,1,1,1,76.2,70.5,0.93
3.0,10,700,12000,1,1,1,83.8,78.1,0.96
3.0,10,750,12000,1,1,1,89.9,84.3,1.00
3.0,10,800,12000,1,1,1,94.2,88.7,1.04
3.0,15,650,12000,1,1,1,80.5,74.8,0.95
3.0,15,700,12000,1,1,1,87.2,81.6,0.99
3.0,15,750,12000,1,1,1,92.1,86.4,1.02
3.0,15,800,12000,1,1,1,95.9,90.2,1.06
2.5,10,650,18000,1,1,1,75.8,69.7,0.92
2.5,10,700,18000,1,1,1,82.5,76.9,0.95
2.5,10,750,18000,1,1,1,88.7,82.8,0.99
2.5,10,800,18000,1,1,1,92.4,86.5,1.02
2.5,15,650,18000,1,1,1,79.4,73.5,0.94
2.5,15,700,18000,1,1,1,85.9,80.1,0.98
2.5,15,750,18000,1,1,1,91.2,85.3,1.01
2.5,15,800,18000,1,1,1,94.8,88.9,1.05
3.0,10,650,18000,1,1,1,73.5,67.8,0.90
3.0,10,700,18000,1,1,1,80.9,75.2,0.94
3.0,10,750,18000,1,1,1,87.2,81.5,0.98
3.0,10,800,18000,1,1,1,91.8,85.9,1.02
3.0,15,650,18000,1,1,1,77.8,72.1,0.93
3.0,15,700,18000,1,1,1,84.5,78.8,0.97
3.0,15,750,18000,1,1,1,90.1,84.3,1.00
3.0,15,800,18000,1,1,1,93.9,87.8,1.04
2.5,10,650,24000,1,1,1,72.1,66.4,0.89
2.5,10,700,24000,1,1,1,78.9,73.2,0.92
2.5,10,750,24000,1,1,1,85.2,79.3,0.96
2.5,10,800,24000,1,1,1,89.8,83.8,1.00
2.5,15,650,24000,1,1,1,75.6,69.9,0.91
2.5,15,700,24000,1,1,1,82.3,76.5,0.95
2.5,15,750,24000,1,1,1,88.5,82.5,0.98
2.5,15,800,24000,1,1,1,92.1,86.1,1.02
3.0,10,650,24000,1,1,1,69.8,64.1,0.87
3.0,10,700,24000,1,1,1,77.2,71.5,0.91
3.0,10,750,24000,1,1,1,83.6,77.8,0.95
3.0,10,800,24000,1,1,1,88.1,82.2,0.99
3.0,15,650,24000,1,1,1,73.5,68.0,0.90
3.0,15,700,24000,1,1,1,80.1,74.3,0.94
3.0,15,750,24000,1,1,1,86.5,80.6,0.97
3.0,15,800,24000,1,1,1,90.2,84.2,1.01
2.5,10,700,12000,2,1,1,84.8,79.3,0.97
2.5,10,700,12000,4,1,1,84.2,78.7,0.96
